#{"t_start": 1784097332.540789, "env_id": "None"}
r,l,t
10.0,8,2.117847
10.0,12,2.119007
10.0,18,2.120739
10.0,10,2.121717
10.0,10,2.122691
10.0,12,2.124051
10.0,12,2.125278
10.0,14,2.126669
10.0,12,2.127855
10.0,14,2.129235
10.0,14,2.130609
10.0,8,2.131413
10.0,12,2.132593
10.0,10,2.1336
10.0,8,2.134392
10.0,14,2.135759
10.0,16,2.13731
10.0,12,2.138483
10.0,16,2.140091
10.0,12,2.141257
10.0,10,2.14223
10.0,14,2.143585
10.0,10,2.144561
10.0,8,2.145348
10.0,8,2.146134
10.0,12,2.147316
10.0,12,2.148505
10.0,12,2.149681
10.0,22,2.151791
10.0,12,2.152959
10.0,24,2.155266
10.0,24,2.15782
10.0,22,2.159992
10.0,12,2.161167
10.0,14,2.162529
10.0,14,2.163908
10.0,10,2.164899
10.0,18,2.166669
10.0,18,2.168408
10.0,16,2.169951
10.0,12,2.171131
10.0,10,2.172105
10.0,8,2.172882
10.0,10,2.173897
10.0,8,2.174679
10.0,12,2.175841
10.0,8,2.17663
10.0,8,2.177418
10.0,12,2.178581
10.0,8,2.179381
10.0,8,2.180177
10.0,10,2.181163
10.0,14,2.182524
10.0,22,2.184641
10.0,20,2.186574
10.0,14,2.187951
10.0,12,2.189108
10.0,10,2.1902
10.0,16,2.191804
10.0,8,2.192603
10.0,14,2.439841
10.0,14,2.441312
10.0,10,2.44233
10.0,10,2.443331
10.0,12,2.444523
10.0,10,2.445516
10.0,10,2.446496
10.0,8,2.447295
10.0,10,2.448284
10.0,8,2.449077
10.0,10,2.450064
10.0,10,2.451048
10.0,8,2.45184
10.0,10,2.45282
10.0,8,2.453614
10.0,8,2.454405
10.0,8,2.455191
10.0,8,2.455981
10.0,14,2.457345
10.0,8,2.458128
10.0,12,2.459294
10.0,14,2.460653
10.0,8,2.461435
10.0,16,2.462977
10.0,8,2.463767
10.0,8,2.464554
10.0,10,2.465531
10.0,12,2.466702
10.0,18,2.468449
10.0,12,2.469622
10.0,14,2.470987
10.0,8,2.471772
10.0,8,2.47256
10.0,8,2.473356
10.0,12,2.474525
10.0,8,2.475309
10.0,18,2.477043
10.0,8,2.477829
10.0,10,2.478796
10.0,10,2.479769
10.0,14,2.481125
10.0,18,2.482862
10.0,10,2.483834
10.0,8,2.484613
10.0,18,2.486344
10.0,8,2.487128
10.0,12,2.488298
10.0,14,2.489669
10.0,8,2.490449
10.0,12,2.491619
10.0,14,2.49298
10.0,10,2.49396
10.0,8,2.494746
10.0,12,2.495914
10.0,12,2.497082
10.0,12,2.498246
10.0,18,2.499984
10.0,8,2.50077
10.0,12,2.501936
10.0,24,2.504237
10.0,8,2.505023
10.0,16,2.506587
10.0,10,2.507586
10.0,12,2.50875
10.0,12,2.509922
10.0,14,2.511279
10.0,14,2.512638
10.0,8,2.513426
10.0,12,2.514598
10.0,12,2.515763
10.0,10,2.516739
10.0,8,2.517525
10.0,12,2.518693
10.0,10,2.519666
10.0,10,2.520643
10.0,8,2.521426
10.0,10,2.522404
10.0,8,2.523195
10.0,14,2.524554
10.0,12,2.525718
10.0,12,2.526885
10.0,10,2.527861
10.0,12,2.529028
10.0,8,2.529815
10.0,10,2.530786
10.0,8,2.531571
10.0,8,2.532362
10.0,10,2.533339
10.0,12,2.534501
10.0,14,2.535852
10.0,8,2.536631
10.0,12,2.537795
10.0,10,2.538772
10.0,14,2.540138
10.0,10,2.541112
10.0,8,2.541898
10.0,8,2.542684
10.0,8,2.543468
10.0,12,2.544641
10.0,8,2.545447
10.0,10,2.546424
10.0,12,2.547588
10.0,8,2.548373
10.0,10,2.549346
10.0,14,2.550692
10.0,12,2.551861
10.0,8,2.55264
10.0,10,2.553644
10.0,10,2.554617
10.0,10,2.55559
10.0,18,2.557335
10.0,14,2.558701
10.0,8,2.559483
10.0,8,2.560268
10.0,12,2.56144
10.0,8,2.562229
10.0,8,2.563013
10.0,10,2.563987
10.0,14,2.565341
10.0,14,2.566696
10.0,10,2.567669
10.0,10,2.568639
10.0,12,2.569808
10.0,12,2.570987
10.0,8,2.571942
10.0,8,2.572786
10.0,14,2.5742
10.0,10,2.575199
10.0,8,2.575993
10.0,14,2.577361
10.0,12,2.578541
10.0,16,2.5801
10.0,10,2.581078
10.0,12,2.582256
10.0,10,2.583237
10.0,10,2.584214
10.0,18,2.585983
10.0,8,2.586771
10.0,12,2.587937
10.0,8,2.588739
10.0,10,2.589713
10.0,10,2.590698
10.0,10,2.591683
10.0,14,2.593059
10.0,8,2.593837
10.0,8,2.594618
10.0,10,2.595597
10.0,10,2.59657
10.0,8,2.597349
10.0,12,2.598521
10.0,8,2.599306
10.0,10,2.600285
10.0,16,2.601848
10.0,12,2.603016
10.0,10,2.603991
10.0,10,2.604967
10.0,8,2.605746
10.0,8,2.606523
10.0,8,2.607303
10.0,10,2.608275
10.0,12,2.609443
10.0,14,2.610802
10.0,8,2.611588
10.0,10,2.612562
10.0,8,2.613338
10.0,10,2.614327
10.0,8,2.615112
10.0,10,2.616085
10.0,12,2.617271
10.0,10,2.618244
10.0,10,2.619212
10.0,10,2.620181
10.0,12,2.621343
10.0,10,2.622317
10.0,8,2.6231
10.0,10,2.624071
10.0,8,2.624854
10.0,8,2.625636
10.0,8,2.626414
10.0,10,2.627386
10.0,12,2.62855
10.0,8,2.629334
10.0,12,2.630497
10.0,8,2.631295
10.0,12,2.632461
10.0,8,2.633243
10.0,8,2.63402
10.0,10,2.634992
10.0,14,2.636341
10.0,8,2.637117
10.0,10,2.638084
10.0,10,2.639058
10.0,10,2.884121
10.0,8,2.885013
10.0,10,2.886028
10.0,10,2.887042
10.0,8,2.887834
10.0,10,2.88884
10.0,18,2.890612
10.0,14,2.891964
10.0,12,2.893134
10.0,8,2.893921
10.0,8,2.894708
10.0,8,2.895507
10.0,20,2.897433
10.0,12,2.898615
10.0,8,2.899401
10.0,8,2.900194
10.0,8,2.900979
10.0,12,2.902144
10.0,8,2.902949
10.0,8,2.903729
10.0,10,2.904702
10.0,10,2.905677
10.0,8,2.906474
10.0,8,2.907255
10.0,12,2.908421
10.0,10,2.909405
10.0,12,2.910572
