#{"t_start": 1784097344.4414651, "env_id": "None"}
r,l,t
6.1,10,1.447632
3.3,14,1.448975
5.5,10,1.449945
2.6,16,1.451478
3.7,18,1.4532
4.5,14,1.454538
6.1,14,1.455887
7.2,8,1.456663
7.2,8,1.457443
4.6,12,1.4586
7.2,8,1.45938
3.3,22,1.461481
4.7,14,1.462824
4.9,18,1.464539
4.7,14,1.465884
6.9,10,1.466849
6.9,10,1.467811
7.2,8,1.468588
5.5,14,1.469923
0.5,26,1.472408
6.0,12,1.473563
5.9,10,1.474523
4.3,14,1.475857
7.2,8,1.476634
6.1,14,1.477982
5.7,10,1.47895
6.5,10,1.479909
5.6,12,1.48107
7.2,8,1.481852
7.2,8,1.482632
5.7,10,1.483602
7.2,8,1.484377
7.2,8,1.485149
5.2,16,1.486681
5.0,12,1.487841
6.9,10,1.488815
7.2,8,1.489599
6.5,10,1.490565
2.8,20,1.492478
3.6,12,1.493629
5.9,10,1.494593
4.0,12,1.495749
7.2,8,1.496525
6.5,10,1.497489
4.7,14,1.498831
1.8,16,1.50036
5.2,12,1.501505
5.8,12,1.502655
5.7,14,1.504
7.2,8,1.504774
4.1,14,1.506124
3.9,18,1.50784
7.2,8,1.508615
6.1,10,1.50958
3.9,14,1.510921
2.0,16,1.512455
5.3,18,1.514178
7.2,8,1.514959
4.6,12,1.516113
7.2,8,1.516885
5.0,16,1.518413
6.9,10,1.519369
0.8,20,1.52128
7.2,8,1.522055
7.2,8,1.522843
6.9,10,1.523807
6.3,10,1.524773
3.2,16,1.526304
5.4,16,1.527836
5.5,10,1.5288
3.3,14,1.530138
4.9,14,1.531484
7.2,8,1.53226
6.7,10,1.533221
1.6,16,1.53475
0.9,18,1.536464
2.6,20,1.538388
2.8,24,1.780051
7.2,8,1.780884
6.5,10,1.781885
6.9,10,1.782883
7.2,8,1.783685
7.2,8,1.784479
6.6,12,1.785656
7.2,8,1.78644
7.2,8,1.78723
7.2,8,1.788018
6.7,10,1.789014
6.2,12,1.79018
6.5,10,1.791155
7.2,8,1.791939
5.4,12,1.7931
7.2,8,1.793877
6.9,10,1.79485
5.8,12,1.796009
6.2,12,1.797172
5.7,10,1.798141
6.7,10,1.799112
7.2,8,1.799894
6.9,10,1.800864
5.5,18,1.802593
6.0,12,1.803748
7.2,8,1.804532
6.7,10,1.805514
5.6,12,1.806701
7.2,8,1.807486
6.1,10,1.808462
7.2,8,1.809242
7.2,8,1.810022
3.3,18,1.811753
6.3,10,1.812716
7.2,8,1.8135
5.8,12,1.814665
6.1,10,1.815635
6.0,12,1.816795
7.2,8,1.817576
6.5,10,1.818549
6.9,10,1.819521
6.9,10,1.820492
7.2,8,1.821267
6.3,10,1.822241
6.7,10,1.82322
6.9,10,1.824195
7.2,8,1.82498
5.2,12,1.826145
6.5,10,1.827113
5.6,16,1.828646
7.2,8,1.829418
7.2,8,1.830201
7.2,8,1.830981
6.3,10,1.831951
7.2,8,1.832724
4.8,16,1.83426
7.2,8,1.835041
7.2,8,1.835822
6.1,10,1.836792
7.2,8,1.837571
7.2,8,1.838351
7.2,8,1.839141
7.2,8,1.83992
7.2,8,1.840698
6.1,10,1.841668
7.2,8,1.842448
7.2,8,1.843226
7.2,8,1.84401
6.9,10,1.84498
7.2,8,1.845752
7.2,8,1.846531
6.3,10,1.847501
6.7,10,1.848471
4.7,14,1.849819
6.6,12,1.850975
6.9,10,1.851946
5.9,10,1.852909
5.7,14,1.854258
5.6,12,1.855419
5.4,12,1.856588
7.2,8,1.857365
6.5,10,1.858334
6.3,10,1.859303
6.0,12,1.860452
6.0,12,1.861608
7.2,8,1.862401
5.5,14,1.863751
5.6,12,1.864909
7.2,8,1.86568
7.2,8,1.866463
6.9,10,1.867429
7.2,8,1.868211
6.7,10,1.869183
7.2,8,1.869963
6.9,10,1.870936
7.2,8,1.871715
6.3,10,1.872692
6.4,12,1.873858
6.7,10,1.87483
7.2,8,1.875603
7.2,8,1.87638
6.0,12,1.877536
7.2,8,1.878316
6.5,10,1.879287
7.2,8,1.880064
5.2,12,1.881228
5.6,12,1.882385
6.5,10,1.883358
6.7,10,1.884328
7.2,8,1.885104
6.6,12,1.886265
7.2,8,1.887038
7.2,8,1.887817
4.9,14,1.889173
6.7,10,1.89014
7.2,8,1.890917
6.9,10,1.891885
5.7,10,1.89285
6.7,10,1.893813
6.5,10,1.89478
6.5,10,1.895746
7.2,8,1.896523
4.9,14,1.897879
7.2,8,1.898654
6.7,10,1.899626
6.9,10,1.900592
7.2,8,1.901371
7.2,8,1.902147
4.4,16,1.903687
6.5,10,1.904659
6.7,10,1.905629
7.2,8,1.906408
6.7,10,1.907371
6.3,10,1.908337
6.5,10,1.909308
5.9,14,1.910652
6.5,10,1.911619
6.5,10,1.912582
6.5,10,1.913542
4.7,14,1.914889
6.5,10,1.915856
7.2,8,1.916634
6.3,10,1.917603
7.2,8,1.91838
6.5,10,1.919354
6.3,10,1.92032
7.2,8,1.921095
6.3,10,1.92207
6.7,10,1.923042
5.2,16,1.924572
7.2,8,1.925349
6.9,10,1.926316
7.2,8,1.92709
6.7,10,1.928059
7.2,8,1.928843
6.3,10,1.92981
6.4,12,1.930962
7.2,8,1.931736
6.5,10,1.932702
7.2,8,1.933483
5.8,12,1.934642
6.7,10,1.935608
6.9,10,1.93657
7.2,8,1.937347
5.0,16,1.938881
6.5,10,1.939873
7.2,8,1.940653
5.6,12,1.94181
5.2,12,1.942967
5.7,10,1.943933
5.7,14,1.945269
