#{"t_start": 1784097158.946538, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.002786
27.0,27,0.005669
15.0,15,0.007255
30.0,30,0.010372
21.0,21,0.012565
17.0,17,0.01436
15.0,15,0.015927
19.0,19,0.017912
14.0,14,0.019365
12.0,12,0.02062
15.0,15,0.022205
15.0,15,0.023783
16.0,16,0.025438
36.0,36,0.029126
37.0,37,0.032922
14.0,14,0.034379
13.0,13,0.03573
27.0,27,0.038503
12.0,12,0.039755
11.0,11,0.040902
11.0,11,0.042051
24.0,24,0.044505
17.0,17,0.046267
13.0,13,0.047614
67.0,67,0.054428
10.0,10,0.055464
19.0,19,0.057416
21.0,21,0.059567
11.0,11,0.060711
10.0,10,0.061759
17.0,17,0.063507
20.0,20,0.065556
10.0,10,0.066602
12.0,12,0.067848
15.0,15,0.069411
16.0,16,0.071077
41.0,41,0.07525
36.0,36,0.078913
24.0,24,0.08138
54.0,54,0.086877
16.0,16,0.088539
74.0,74,0.09609
27.0,27,0.098847
36.0,36,0.102502
15.0,15,0.104038
21.0,21,0.106382
19.0,19,0.108371
11.0,11,0.109521
24.0,24,0.111958
30.0,30,0.114974
24.0,24,0.117398
14.0,14,0.11882
22.0,22,0.121065
17.0,17,0.12278
14.0,14,0.124192
13.0,13,0.125513
21.0,21,0.127616
12.0,12,0.128835
12.0,12,0.130057
12.0,12,0.131274
17.0,17,0.132976
17.0,17,0.134691
20.0,20,0.136724
59.0,59,0.142576
16.0,16,0.14418
13.0,13,0.145495
63.0,63,0.151711
11.0,11,0.15283
13.0,13,0.154147
21.0,21,0.15626
24.0,24,0.15866
20.0,20,0.160691
23.0,23,0.163013
37.0,37,0.166728
14.0,14,0.16816
18.0,18,0.169979
15.0,15,0.171513
19.0,19,0.173429
30.0,30,0.176411
19.0,19,0.178318
59.0,59,0.184126
11.0,11,0.185237
16.0,16,0.186829
33.0,33,0.190099
18.0,18,0.191896
14.0,14,0.193297
15.0,15,0.194794
30.0,30,0.197775
32.0,32,0.200936
9.0,9,0.201841
19.0,19,0.203739
15.0,15,0.205254
16.0,16,0.206842
30.0,30,0.20981
13.0,13,0.455874
10.0,10,0.456999
35.0,35,0.46061
14.0,14,0.462074
21.0,21,0.46424
19.0,19,0.466174
18.0,18,0.468008
27.0,27,0.47075
16.0,16,0.472353
17.0,17,0.474045
20.0,20,0.476019
17.0,17,0.477714
64.0,64,0.483948
13.0,13,0.485255
14.0,14,0.48665
14.0,14,0.488091
14.0,14,0.489522
26.0,26,0.49213
62.0,62,0.498333
18.0,18,0.500155
35.0,35,0.503639
33.0,33,0.50693
73.0,73,0.514066
64.0,64,0.520392
17.0,17,0.522136
40.0,40,0.526093
13.0,13,0.527417
22.0,22,0.529632
25.0,25,0.53214
12.0,12,0.533366
18.0,18,0.535185
25.0,25,0.537713
16.0,16,0.539321
20.0,20,0.541315
18.0,18,0.54313
12.0,12,0.544349
10.0,10,0.54536
16.0,16,0.546966
45.0,45,0.551429
49.0,49,0.556325
16.0,16,0.557935
89.0,89,0.566772
27.0,27,0.569488
44.0,44,0.573885
18.0,18,0.575701
9.0,9,0.576613
22.0,22,0.578807
10.0,10,0.579832
27.0,27,0.582522
65.0,65,0.589182
20.0,20,0.591316
42.0,42,0.59565
20.0,20,0.59774
14.0,14,0.599204
63.0,63,0.605682
60.0,60,0.611798
35.0,35,0.615388
17.0,17,0.617148
41.0,41,0.621387
35.0,35,0.624924
27.0,27,0.627653
16.0,16,0.629275
21.0,21,0.631385
67.0,67,0.638234
29.0,29,0.641344
35.0,35,0.645019
17.0,17,0.64681
11.0,11,0.64798
22.0,22,0.650275
16.0,16,0.651949
11.0,11,0.653112
36.0,36,0.656844
82.0,82,0.910341
42.0,42,0.914852
79.0,79,0.923284
63.0,63,0.92989
40.0,40,0.934039
25.0,25,0.936651
12.0,12,0.937936
12.0,12,0.939223
44.0,44,0.943775
58.0,58,0.949739
55.0,55,0.95541
29.0,29,0.958413
26.0,26,0.96111
42.0,42,0.965454
18.0,18,0.967328
48.0,48,0.972272
14.0,14,0.973746
28.0,28,0.97665
48.0,48,0.981601
19.0,19,0.983576
29.0,29,0.986577
27.0,27,0.989368
29.0,29,0.992336
33.0,33,0.995719
20.0,20,0.997797
14.0,14,0.999253
31.0,31,1.002443
29.0,29,1.005437
36.0,36,1.009133
29.0,29,1.012125
30.0,30,1.015223
48.0,48,1.020165
35.0,35,1.023754
25.0,25,1.026353
18.0,18,1.028221
11.0,11,1.029396
92.0,92,1.038837
16.0,16,1.040503
19.0,19,1.04248
25.0,25,1.045071
21.0,21,1.047245
15.0,15,1.0488
46.0,46,1.053531
42.0,42,1.057842
37.0,37,1.061667
31.0,31,1.064857
41.0,41,1.069047
33.0,33,1.072444
58.0,58,1.078399
32.0,32,1.081691
25.0,25,1.084255
11.0,11,1.085398
35.0,35,1.088995
27.0,27,1.091789
19.0,19,1.093755
52.0,52,1.099048
15.0,15,1.100601
47.0,47,1.105421
14.0,14,1.106881
29.0,29,1.109855
69.0,69,1.116868
14.0,14,1.118334
54.0,54,1.368057
53.0,53,1.373635
50.0,50,1.37884
57.0,57,1.384753
42.0,42,1.389283
55.0,55,1.394936
20.0,20,1.397
49.0,49,1.401983
33.0,33,1.405356
58.0,58,1.411227
53.0,53,1.416573
40.0,40,1.420671
185.0,185,1.439798
100.0,100,1.450083
39.0,39,1.454136
39.0,39,1.458173
149.0,149,1.473487
51.0,51,1.478759
33.0,33,1.482199
30.0,30,1.4853
68.0,68,1.492317
129.0,129,1.505596
60.0,60,1.511779
209.0,209,1.533302
170.0,170,1.550765
124.0,124,1.563489
14.0,14,1.56496
16.0,16,1.566628
38.0,38,1.570563
146.0,146,1.831176
90.0,90,1.840206
71.0,71,1.847318
78.0,78,1.855054
103.0,103,1.865241
140.0,140,1.879089
19.0,19,1.880995
119.0,119,1.892781
78.0,78,1.900472
17.0,17,1.902238
46.0,46,1.906829
114.0,114,1.918061
29.0,29,1.920958
120.0,120,1.932846
94.0,94,1.942179
43.0,43,1.946486
34.0,34,1.949909
66.0,66,1.956461
135.0,135,1.969785
66.0,66,1.976281
137.0,137,1.989768
61.0,61,1.995799
301.0,301,2.270694
77.0,77,2.278821
98.0,98,2.288951
125.0,125,2.301742
143.0,143,2.31684
99.0,99,2.327104
119.0,119,2.33933
151.0,151,2.354947
103.0,103,2.365537
260.0,260,2.392371
163.0,163,2.409051
101.0,101,2.419328
135.0,135,2.43303
267.0,267,2.46016
255.0,255,2.732974
284.0,284,2.761741
120.0,120,2.773811
