#{"t_start": 1784097147.577489, "env_id": "CartPole-v1"}
r,l,t
350.0,350,6.034846
233.0,233,6.057772
274.0,274,6.084661
205.0,205,6.104783
190.0,190,6.123338
288.0,288,6.398685
201.0,201,6.418849
221.0,221,6.440842
217.0,217,6.462322
215.0,215,6.484062
199.0,199,6.504061
217.0,217,6.525815
329.0,329,6.558751
267.0,267,6.585935
241.0,241,6.856795
322.0,322,6.889402
258.0,258,6.915351
178.0,178,6.933245
196.0,196,6.95285
211.0,211,6.973993
226.0,226,6.997152
218.0,218,7.0191
261.0,261,7.291594
188.0,188,7.310715
286.0,286,7.339539
240.0,240,7.363683
238.0,238,7.387573
184.0,184,7.406224
194.0,194,7.425648
211.0,211,7.446808
191.0,191,7.466479
181.0,181,7.48462
236.0,236,7.756403
213.0,213,7.778314
222.0,222,7.800991
228.0,228,7.824182
227.0,227,7.84718
214.0,214,7.868761
173.0,173,7.88627
173.0,173,7.904174
231.0,231,7.927572
226.0,226,7.950407
207.0,207,8.219433
245.0,245,8.244053
206.0,206,8.264617
224.0,224,8.287039
198.0,198,8.306721
201.0,201,8.327099
189.0,189,8.345964
194.0,194,8.365301
204.0,204,8.385651
188.0,188,8.651616
225.0,225,8.674458
209.0,209,8.695293
202.0,202,8.715328
224.0,224,8.738537
241.0,241,8.762999
219.0,219,8.785212
201.0,201,8.806072
222.0,222,8.828604
190.0,190,8.847817
172.0,172,9.112495
181.0,181,9.131119
200.0,200,9.150974
153.0,153,9.166041
196.0,196,9.185208
193.0,193,9.204083
215.0,215,9.22522
177.0,177,9.242613
195.0,195,9.262324
198.0,198,9.282442
200.0,200,9.302693
218.0,218,9.57134
165.0,165,9.588122
182.0,182,9.606508
166.0,166,9.623232
200.0,200,9.643454
169.0,169,9.660466
188.0,188,9.679454
170.0,170,9.696566
216.0,216,9.71828
194.0,194,9.737741
186.0,186,9.75641
163.0,163,10.019255
184.0,184,10.038234
175.0,175,10.056079
177.0,177,10.073957
190.0,190,10.093151
189.0,189,10.112299
170.0,170,10.129326
179.0,179,10.147274
177.0,177,10.165214
180.0,180,10.183089
180.0,180,10.200886
190.0,190,10.467273
178.0,178,10.485505
163.0,163,10.502121
180.0,180,10.520383
172.0,172,10.537771
185.0,185,10.556414
172.0,172,10.573746
150.0,150,10.588851
189.0,189,10.607982
166.0,166,10.624689
178.0,178,10.642548
165.0,165,10.659522
155.0,155,10.9209
149.0,149,10.936228
160.0,160,10.952479
181.0,181,10.970822
157.0,157,10.986785
144.0,144,11.001483
151.0,151,11.016843
170.0,170,11.034029
154.0,154,11.049536
169.0,169,11.066543
139.0,139,11.080537
179.0,179,11.098493
147.0,147,11.113271
