#{"t_start": 1784097184.7391932, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.003052
19.0,19,0.00345
17.0,17,0.003778
14.0,14,0.004064
48.0,48,0.006673
21.0,21,0.009188
38.0,38,0.013938
38.0,38,0.018826
15.0,15,0.020714
35.0,35,0.024677
14.0,14,0.026713
10.0,10,0.027869
27.0,27,0.031179
8.0,8,0.032105
83.0,83,0.042208
23.0,23,0.04521
10.0,10,0.046354
19.0,19,0.048727
27.0,27,0.052038
22.0,22,0.054585
34.0,34,0.059053
14.0,14,0.06081
31.0,31,0.064781
12.0,12,0.066327
24.0,24,0.069294
20.0,20,0.07169
17.0,17,0.073708
10.0,10,0.075068
18.0,18,0.077287
11.0,11,0.078803
25.0,25,0.081736
17.0,17,0.083733
19.0,19,0.086204
13.0,13,0.087728
25.0,25,0.091219
20.0,20,0.093798
15.0,15,0.095339
18.0,18,0.097749
50.0,50,0.104126
20.0,20,0.1065
14.0,14,0.108602
10.0,10,0.109714
45.0,45,0.11603
37.0,37,0.120699
34.0,34,0.12486
22.0,22,0.128086
16.0,16,0.130092
14.0,14,0.13173
22.0,22,0.134703
10.0,10,0.135688
21.0,21,0.138688
12.0,12,0.140204
16.0,16,0.142403
19.0,19,0.144466
18.0,18,0.14689
11.0,11,0.148316
12.0,12,0.149905
21.0,21,0.152713
14.0,14,0.154394
20.0,20,0.156992
13.0,13,0.158985
25.0,25,0.162176
12.0,12,0.163676
13.0,13,0.165451
13.0,13,0.167058
15.0,15,0.16893
10.0,10,0.170447
12.0,12,0.172085
11.0,11,0.173266
9.0,9,0.17476
11.0,11,0.175817
26.0,26,0.179282
9.0,9,0.180317
31.0,31,0.184292
44.0,44,0.189914
14.0,14,0.191485
9.0,9,0.193069
13.0,13,0.194792
13.0,13,0.196386
22.0,22,0.199425
27.0,27,0.20281
14.0,14,0.204717
11.0,11,0.206284
12.0,12,0.207998
23.0,23,0.210821
17.0,17,0.213305
34.0,34,0.21737
19.0,19,0.22003
15.0,15,0.222226
17.0,17,0.224418
16.0,16,0.226586
27.0,27,0.230096
21.0,21,0.232819
15.0,15,0.235051
11.0,11,0.236303
14.0,14,0.238352
20.0,20,0.24086
20.0,20,0.243712
14.0,14,0.245343
22.0,22,0.248374
19.0,19,0.250963
27.0,27,0.254229
10.0,10,0.255699
18.0,18,0.257878
27.0,27,0.261525
14.0,14,0.263564
15.0,15,0.265358
43.0,43,0.271405
34.0,34,0.276091
14.0,14,0.277732
21.0,21,0.280636
51.0,51,0.287408
15.0,15,0.289651
21.0,21,0.292472
18.0,18,0.295117
18.0,18,0.297296
23.0,23,0.300327
17.0,17,0.302459
16.0,16,0.304656
10.0,10,0.306262
14.0,14,0.308105
13.0,13,0.309936
12.0,12,0.311561
18.0,18,0.314267
16.0,16,0.316607
14.0,14,0.318473
15.0,15,0.320762
11.0,11,0.322422
13.0,13,0.324358
11.0,11,0.326964
23.0,23,0.3305
12.0,12,0.332193
15.0,15,0.334005
17.0,17,0.336628
14.0,14,0.338461
48.0,48,0.344981
13.0,13,0.346811
21.0,21,0.350042
16.0,16,0.352228
11.0,11,0.35354
17.0,17,0.356172
13.0,13,0.35788
13.0,13,0.359666
13.0,13,0.361394
14.0,14,0.363649
13.0,13,0.365361
23.0,23,0.368658
14.0,14,0.370409
15.0,15,0.372744
19.0,19,0.375538
16.0,16,0.377764
12.0,12,0.379538
13.0,13,0.381301
15.0,15,0.383556
13.0,13,0.38533
13.0,13,0.387178
11.0,11,0.388922
15.0,15,0.391202
18.0,18,0.393445
16.0,16,0.395636
22.0,22,0.399133
14.0,14,0.401052
12.0,12,0.402846
12.0,12,0.404649
11.0,11,0.406353
22.0,22,0.409655
9.0,9,0.410835
13.0,13,0.412597
15.0,15,0.414747
9.0,9,0.415925
11.0,11,0.417764
14.0,14,0.419503
13.0,13,0.42168
9.0,9,0.422883
14.0,14,0.424646
17.0,17,0.427464
18.0,18,0.430008
15.0,15,0.432293
25.0,25,0.435667
11.0,11,0.437472
20.0,20,0.440329
17.0,17,0.442694
12.0,12,0.444365
17.0,17,0.446782
14.0,14,0.44913
18.0,18,0.4516
12.0,12,0.453489
13.0,13,0.456191
15.0,15,0.458101
17.0,17,0.460925
20.0,20,0.463871
16.0,16,0.466138
10.0,10,0.467567
12.0,12,0.469394
14.0,14,0.47156
13.0,13,0.473333
16.0,16,0.475761
14.0,14,0.477593
11.0,11,0.479337
