#{"t_start": 1784097126.338288, "env_id": "CartPole-v1"}
r,l,t
9.0,9,1.334076
11.0,11,1.33604
10.0,10,1.337951
10.0,10,1.339443
10.0,10,1.34127
10.0,10,1.342676
9.0,9,1.344054
10.0,10,1.345874
10.0,10,1.347294
9.0,9,1.349001
9.0,9,1.350286
9.0,9,1.351642
9.0,9,1.35298
10.0,10,1.354782
10.0,10,1.35621
9.0,9,1.357964
9.0,9,1.359285
10.0,10,1.360723
10.0,10,1.362527
8.0,8,1.363818
10.0,10,1.365229
9.0,9,1.367001
9.0,9,1.368331
9.0,9,1.369689
12.0,12,1.371477
10.0,10,1.373296
10.0,10,1.374784
9.0,9,1.376133
10.0,10,1.377915
10.0,10,1.379324
10.0,10,1.381133
9.0,9,1.382546
12.0,12,1.384467
9.0,9,1.385844
10.0,10,1.387639
9.0,9,1.389042
11.0,11,1.390836
9.0,9,1.392211
10.0,10,1.393969
10.0,10,1.395372
9.0,9,1.396731
9.0,9,1.398513
8.0,8,1.399803
11.0,11,1.401246
10.0,10,1.40304
9.0,9,1.404413
11.0,11,1.40629
10.0,10,1.407676
8.0,8,1.408972
8.0,8,1.410266
10.0,10,1.412069
9.0,9,1.413435
9.0,9,1.41474
9.0,9,1.416541
8.0,8,1.417798
10.0,10,1.419195
10.0,10,1.420996
8.0,8,1.422325
10.0,10,1.42377
9.0,9,1.425128
9.0,9,1.426855
10.0,10,1.428292
9.0,9,1.429625
10.0,10,1.431418
8.0,8,1.432724
8.0,8,1.434072
10.0,10,1.435492
10.0,10,1.437287
10.0,10,1.438714
12.0,12,1.440629
9.0,9,1.442354
10.0,10,1.443687
9.0,9,1.445029
9.0,9,1.446815
10.0,10,1.448229
9.0,9,1.449628
10.0,10,1.45142
9.0,9,1.452842
10.0,10,1.454725
10.0,10,1.456236
11.0,11,1.458145
8.0,8,1.459491
10.0,10,1.460942
8.0,8,1.462222
9.0,9,1.463976
9.0,9,1.465314
10.0,10,1.466725
9.0,9,1.468443
10.0,10,1.469779
12.0,12,1.471678
9.0,9,1.47299
9.0,9,1.47468
9.0,9,1.476013
9.0,9,1.477402
10.0,10,1.479201
8.0,8,1.480466
9.0,9,1.481814
9.0,9,1.483202
10.0,10,1.484998
9.0,9,1.486341
9.0,9,1.487654
11.0,11,1.489496
10.0,10,1.490836
9.0,9,1.492589
9.0,9,1.493949
10.0,10,1.49537
9.0,9,1.497122
9.0,9,1.498422
10.0,10,1.499834
8.0,8,1.5011
10.0,10,1.502867
9.0,9,1.504215
9.0,9,1.505525
9.0,9,1.507277
10.0,10,1.508717
10.0,10,1.510519
10.0,10,1.51191
9.0,9,1.513291
10.0,10,1.515075
10.0,10,1.516465
9.0,9,1.5182
8.0,8,1.51951
11.0,11,1.520995
11.0,11,1.522877
10.0,10,1.524712
10.0,10,1.526111
9.0,9,1.527516
8.0,8,1.528803
9.0,9,1.530517
10.0,10,1.532002
8.0,8,1.533317
9.0,9,1.534669
10.0,10,1.536466
8.0,8,1.537767
10.0,10,1.539135
9.0,9,1.540844
