#{"t_start": 1784097176.0750148, "env_id": "CartPole-v1"}
r,l,t
9.0,9,1.197859
11.0,11,1.199793
9.0,9,1.204508
10.0,10,1.206432
11.0,11,1.208055
9.0,9,1.209841
10.0,10,1.21117
10.0,10,1.212925
10.0,10,1.214302
9.0,9,1.215706
10.0,10,1.217477
11.0,11,1.219313
12.0,12,1.221168
9.0,9,1.222556
10.0,10,1.223967
11.0,11,1.225804
9.0,9,1.227113
11.0,11,1.228975
11.0,11,1.230861
12.0,12,1.232765
10.0,10,1.234199
10.0,10,1.236045
11.0,11,1.237877
10.0,10,1.239308
10.0,10,1.241108
10.0,10,1.242523
10.0,10,1.244353
9.0,9,1.245692
9.0,9,1.247056
9.0,9,1.248474
9.0,9,1.250142
10.0,10,1.251527
8.0,8,1.252818
10.0,10,1.254636
12.0,12,1.256463
11.0,11,1.257982
10.0,10,1.259787
11.0,11,1.26162
9.0,9,1.263024
10.0,10,1.264485
10.0,10,1.266299
10.0,10,1.267664
9.0,9,1.269369
9.0,9,1.270715
11.0,11,1.272571
11.0,11,1.274119
10.0,10,1.275927
9.0,9,1.277194
11.0,11,1.279027
9.0,9,1.280407
9.0,9,1.28176
11.0,11,1.283582
10.0,10,1.285347
11.0,11,1.286841
11.0,11,1.288687
9.0,9,1.290002
9.0,9,1.291878
10.0,10,1.293478
8.0,8,1.294821
9.0,9,1.296182
8.0,8,1.297466
9.0,9,1.299197
8.0,8,1.300481
10.0,10,1.301905
10.0,10,1.303749
10.0,10,1.305207
9.0,9,1.306558
8.0,8,1.307938
8.0,8,1.309381
10.0,10,1.311272
9.0,9,1.312622
9.0,9,1.313977
10.0,10,1.315785
10.0,10,1.31723
9.0,9,1.318994
9.0,9,1.320345
10.0,10,1.321759
8.0,8,1.323067
11.0,11,1.325126
10.0,10,1.327312
10.0,10,1.328844
10.0,10,1.330711
9.0,9,1.332065
11.0,11,1.333914
8.0,8,1.33521
10.0,10,1.336656
10.0,10,1.338453
9.0,9,1.339822
9.0,9,1.341277
9.0,9,1.342785
10.0,10,1.344825
10.0,10,1.346319
9.0,9,1.348066
10.0,10,1.349508
8.0,8,1.350787
9.0,9,1.352163
11.0,11,1.354031
9.0,9,1.355435
9.0,9,1.357414
10.0,10,1.359203
9.0,9,1.360847
9.0,9,1.36278
10.0,10,1.364278
10.0,10,1.366092
9.0,9,1.367456
9.0,9,1.368849
10.0,10,1.370687
10.0,10,1.372125
10.0,10,1.374094
10.0,10,1.375686
11.0,11,1.377869
10.0,10,1.379375
10.0,10,1.381188
11.0,11,1.383075
10.0,10,1.384507
9.0,9,1.385898
8.0,8,1.387238
11.0,11,1.389191
11.0,11,1.391242
10.0,10,1.392874
10.0,10,1.394875
10.0,10,1.396349
9.0,9,1.398039
10.0,10,1.399484
9.0,9,1.400835
8.0,8,1.402166
9.0,9,1.403925
9.0,9,1.405259
10.0,10,1.406686
9.0,9,1.408565
10.0,10,1.410145
9.0,9,1.411537
10.0,10,1.413364
12.0,12,1.415294
10.0,10,1.416709
10.0,10,1.418517
9.0,9,1.419921
9.0,9,1.421297
10.0,10,1.423112
10.0,10,1.42467
9.0,9,1.426635
8.0,8,1.428169
9.0,9,1.429567
9.0,9,1.430953
9.0,9,1.432313
10.0,10,1.434119
8.0,8,1.43542
9.0,9,1.436806
9.0,9,1.43818
10.0,10,1.440011
9.0,9,1.441494
9.0,9,1.443085
9.0,9,1.444868
11.0,11,1.446407
9.0,9,1.448137
9.0,9,1.44947
9.0,9,1.450826
11.0,11,1.452735
9.0,9,1.454087
10.0,10,1.455896
10.0,10,1.457472
11.0,11,1.459518
11.0,11,1.46172
10.0,10,1.463148
11.0,11,1.465039
8.0,8,1.466354
11.0,11,1.46823
10.0,10,1.46976
10.0,10,1.471573
9.0,9,1.472953
9.0,9,1.474458
9.0,9,1.476033
9.0,9,1.47783
10.0,10,1.4793
10.0,10,1.481104
10.0,10,1.482516
9.0,9,1.48389
9.0,9,1.485625
8.0,8,1.486942
8.0,8,1.488234
10.0,10,1.489654
9.0,9,1.49116
10.0,10,1.493295
10.0,10,1.494799
10.0,10,1.496586
9.0,9,1.497996
8.0,8,1.49929
11.0,11,1.501154
9.0,9,1.50253
9.0,9,1.503953
10.0,10,1.505737
10.0,10,1.507227
8.0,8,1.508612
8.0,8,1.510076
8.0,8,1.511399
10.0,10,1.513207
10.0,10,1.514643
10.0,10,1.516484
10.0,10,1.517889
10.0,10,1.519718
10.0,10,1.521134
9.0,9,1.522891
9.0,9,1.524274
10.0,10,1.525666
10.0,10,1.527435
8.0,8,1.528738
9.0,9,1.530092
10.0,10,1.531902
8.0,8,1.533183
9.0,9,1.534522
10.0,10,1.535926
9.0,9,1.537658
9.0,9,1.539018
8.0,8,1.540398
9.0,9,1.54189
9.0,9,1.543296
9.0,9,1.545068
9.0,9,1.546472
9.0,9,1.547826
9.0,9,1.549189
9.0,9,1.550936
10.0,10,1.552421
8.0,8,1.553716
9.0,9,1.555063
9.0,9,1.556821
9.0,9,1.558283
10.0,10,1.5597
9.0,9,1.56149
9.0,9,1.562845
10.0,10,1.564283
10.0,10,1.566139
8.0,8,1.567426
9.0,9,1.568757
10.0,10,1.570602
10.0,10,1.572021
9.0,9,1.573389
9.0,9,1.575167
9.0,9,1.576539
9.0,9,1.577892
10.0,10,1.579693
9.0,9,1.58105
9.0,9,1.582449
9.0,9,1.583815
9.0,9,1.585528
9.0,9,1.586934
9.0,9,1.588232
9.0,9,1.589578
9.0,9,1.591302
10.0,10,1.592732
10.0,10,1.594523
10.0,10,1.595947
10.0,10,1.597715
9.0,9,1.599104
9.0,9,1.600474
9.0,9,1.601824
8.0,8,1.603113
10.0,10,1.604902
10.0,10,1.606338
8.0,8,1.607639
10.0,10,1.609423
9.0,9,1.610796
9.0,9,1.612157
10.0,10,1.613943
9.0,9,1.615319
9.0,9,1.616673
10.0,10,1.618493
9.0,9,1.619863
9.0,9,1.621211
8.0,8,1.622498
10.0,10,1.624331
8.0,8,1.625604
9.0,9,1.62696
9.0,9,1.628303
9.0,9,1.630044
9.0,9,1.631411
9.0,9,1.632786
10.0,10,1.634567
10.0,10,1.636001
9.0,9,1.637339
10.0,10,1.639121
9.0,9,1.640478
9.0,9,1.64185
9.0,9,1.643606
9.0,9,1.644968
9.0,9,1.646318
10.0,10,1.648138
9.0,9,1.649507
12.0,12,1.651363
10.0,10,1.652747
10.0,10,1.654567
10.0,10,1.655971
9.0,9,1.657694
11.0,11,1.659131
10.0,10,1.660937
9.0,9,1.662277
10.0,10,1.664064
9.0,9,1.665419
10.0,10,1.666844
9.0,9,1.668559
9.0,9,1.6699
10.0,10,1.671258
10.0,10,1.67306
10.0,10,1.674472
9.0,9,1.676204
9.0,9,1.67756
9.0,9,1.678924
9.0,9,1.680273
9.0,9,1.681994
9.0,9,1.683373
10.0,10,1.68481
11.0,11,1.686652
9.0,9,1.687986
9.0,9,1.689697
8.0,8,1.69101
10.0,10,1.692417
10.0,10,1.694187
8.0,8,1.695469
10.0,10,1.696895
12.0,12,1.698777
10.0,10,1.700534
8.0,8,1.701811
10.0,10,1.703246
10.0,10,1.705044
10.0,10,1.706454
9.0,9,1.707854
9.0,9,1.709594
9.0,9,1.710914
9.0,9,1.712246
10.0,10,1.714028
9.0,9,1.715365
9.0,9,1.7167
9.0,9,1.718038
10.0,10,1.719817
9.0,9,1.721183
9.0,9,1.72252
10.0,10,1.724335
9.0,9,1.725682
9.0,9,1.727047
8.0,8,1.728287
9.0,9,1.729988
9.0,9,1.731335
9.0,9,1.732793
10.0,10,1.734748
8.0,8,1.736032
10.0,10,1.737441
9.0,9,1.738811
10.0,10,1.740634
11.0,11,1.742485
8.0,8,1.74377
11.0,11,1.745229
10.0,10,1.74703
10.0,10,1.748466
9.0,9,1.750184
9.0,9,1.751559
8.0,8,1.752846
10.0,10,1.754251
9.0,9,1.755989
10.0,10,1.757477
10.0,10,1.759268
10.0,10,1.760682
10.0,10,1.762459
8.0,8,1.763768
10.0,10,1.76522
9.0,9,1.766627
10.0,10,1.76841
10.0,10,1.76983
8.0,8,1.771117
10.0,10,1.772941
10.0,10,1.774389
10.0,10,1.77625
9.0,9,1.777618
8.0,8,1.77892
8.0,8,1.780213
8.0,8,1.781468
8.0,8,1.782778
10.0,10,1.784593
10.0,10,1.786021
10.0,10,1.787853
8.0,8,1.789213
9.0,9,1.790598
9.0,9,1.791967
10.0,10,1.793792
10.0,10,1.795209
9.0,9,1.79659
10.0,10,1.798475
10.0,10,1.799904
10.0,10,1.801677
8.0,8,1.802961
9.0,9,1.804288
9.0,9,1.80567
9.0,9,1.807393
9.0,9,1.808738
11.0,11,1.810543
9.0,9,1.811916
9.0,9,1.813274
9.0,9,1.814625
10.0,10,1.816446
10.0,10,1.81787
9.0,9,1.81958
9.0,9,1.820969
10.0,10,1.822363
8.0,8,1.823655
10.0,10,1.825431
9.0,9,1.826761
9.0,9,1.828089
10.0,10,1.829921
10.0,10,1.831325
10.0,10,1.833124
10.0,10,1.834518
9.0,9,1.836241
10.0,10,1.837657
9.0,9,1.839012
9.0,9,1.840749
10.0,10,1.842201
9.0,9,1.843555
10.0,10,1.845334
10.0,10,1.846754
9.0,9,1.848508
9.0,9,1.849858
10.0,10,1.851261
9.0,9,1.85299
9.0,9,1.854367
10.0,10,1.855781
9.0,9,1.857523
9.0,9,1.858864
9.0,9,1.860202
10.0,10,1.861991
10.0,10,1.863393
9.0,9,1.864741
9.0,9,1.866489
9.0,9,1.867826
10.0,10,1.869259
10.0,10,1.871051
9.0,9,1.87241
10.0,10,1.874197
10.0,10,1.875614
9.0,9,1.876961
11.0,11,1.878805
10.0,10,1.880586
9.0,9,1.882063
10.0,10,1.883478
10.0,10,1.885301
10.0,10,1.886726
9.0,9,1.888456
9.0,9,1.889782
9.0,9,1.891172
10.0,10,1.892943
10.0,10,1.894341
10.0,10,1.896113
8.0,8,1.89741
