#{"t_start": 1784097135.059406, "env_id": "CartPole-v1"}
r,l,t
500.0,500,4.766959
500.0,500,4.819334
500.0,500,4.871447
500.0,500,4.927817
500.0,500,5.232309
500.0,500,5.28388
500.0,500,5.334681
500.0,500,5.385429
500.0,500,5.684021
500.0,500,5.735216
458.0,458,5.781834
500.0,500,5.832458
500.0,500,6.128168
500.0,500,6.179795
500.0,500,6.231403
500.0,500,6.282571
500.0,500,6.577151
500.0,500,6.628183
500.0,500,6.67887
500.0,500,6.730127
500.0,500,6.781208
500.0,500,7.082076
500.0,500,7.133096
500.0,500,7.185809
500.0,500,7.237769
500.0,500,7.539755
500.0,500,7.591595
500.0,500,7.643953
500.0,500,7.695633
500.0,500,7.996659
500.0,500,8.048988
500.0,500,8.100842
500.0,500,8.153342
463.0,463,8.445785
500.0,500,8.498116
500.0,500,8.551383
500.0,500,8.603938
500.0,500,8.903942
500.0,500,8.95698
500.0,500,9.008485
500.0,500,9.060748
500.0,500,9.364528
500.0,500,9.416735
500.0,500,9.468932
500.0,500,9.521558
500.0,500,9.821697
500.0,500,9.875102
500.0,500,9.927251
500.0,500,9.980086
500.0,500,10.279575
500.0,500,10.334918
500.0,500,10.394391
500.0,500,10.459094
500.0,500,10.788986
500.0,500,10.846911
500.0,500,10.899699
500.0,500,10.953557
500.0,500,11.266274
500.0,500,11.319292
500.0,500,11.371852
500.0,500,11.424533
500.0,500,11.477032
